# dates,infections,hospitalizations,deaths,mean_r_t
2020-03-01,341.0675605457681,0.0,0.0,3.786765484922743
2020-03-02,341.0675605457681,0.0,0.0,3.772704813849571
2020-03-03,341.0675605457681,0.0,0.0,3.766231852320241
2020-03-04,341.0675605457681,0.0,0.0,3.756809671523322
2020-03-05,341.0675605457681,0.0,0.0,3.743128938981663
2020-03-06,341.0675605457681,0.0,0.0,3.7233371609701313
2020-03-07,341.0675605457681,0.0,0.0,3.694855009018871
2020-03-08,341.0675605457681,0.0,0.0,3.6541757808268653
2020-03-09,341.0675605457681,0.0,0.0,3.5967001124523024
2020-03-10,1539.8862980015701,0.0,0.0,3.5149010815847777
2020-03-11,1498.9154246177511,0.0,0.0,3.405764703579718
2020-03-12,1641.1069515865167,0.0,0.0,3.2606176422682025
2020-03-13,1925.7612790696983,0.0,0.0,3.0759619203059905
2020-03-14,2498.0545657620014,6.0,0.0,2.851795523997055
2020-03-15,3284.414110827922,13.0,0.0,2.5948585624421163
2020-03-16,3691.699469327168,20.0,0.0,2.319072829422632
2020-03-17,3915.7069225558043,27.0,0.006810911650438846,2.04324042257048
2020-03-18,4143.688276546549,34.0,0.01997867417462062,1.786368229298649
2020-03-19,4362.675749189781,40.0,0.03914003895118857,1.5624725998800755
2020-03-20,4571.532229446572,47.0,0.06400440708305732,1.378240551216406
2020-03-21,4649.927178856305,54.0,0.09433929945255855,1.2336718553431885
2020-03-22,4636.098555625739,61.0,0.13449934053251686,1.1243605511307149
2020-03-23,4595.481874102455,92.0,0.1838816829109286,1.0439890281634896
2020-03-24,4553.155930537949,122.0,0.24200404865819083,0.9860710707899749
2020-03-25,4515.641921577458,148.0,0.3084806154306212,0.9448971353999719
2020-03-26,4464.030189238816,179.0,0.44045795909736796,0.9158707950166827
2020-03-27,4393.295514480189,223.0,0.6540214467943397,0.8954914572625972
2020-03-28,4313.7130836343995,281.0,0.9508279040277207,0.8811905793653253
2020-03-29,4233.784298874454,348.0,1.308980408713098,0.8711269518411221
2020-03-30,4157.992909541526,420.0,1.7095111129938565,0.8639997503945079
2020-03-31,4083.729182721353,496.0,2.117733050292327,0.8588994097093264
2020-04-01,4007.8165123857552,576.0,2.6484574650474877,0.8551945448084085
2020-04-02,3930.3720924383883,661.0,3.321405255664438,0.8524497945245131
2020-04-03,3853.072767274275,723.0,4.148781418311946,0.8503662831600347
2020-04-04,3777.4745195207806,786.0,5.123914351817734,0.8487390632875974
2020-04-05,3703.696610965487,845.0,6.207501872506857,0.8474275731369232
2020-04-06,3630.997688905308,898.0,7.400078790021733,0.846335383710472
2020-04-07,3558.9497277109226,938.0,8.697098539001633,0.8453964700216078
2020-04-08,3487.6520572408226,961.0,10.085040783872818,0.8445657571275434
2020-04-09,3417.455432261501,976.0,11.539331991189933,0.8438124837219271
2020-04-10,3348.5445145519884,983.0,12.970809079137886,0.8431156042042719
2020-04-11,3280.837331992323,985.0,14.379591134657868,0.8424606616935737
2020-04-12,3214.1837108058694,981.0,15.762372312130445,0.8418377083227938
2020-04-13,3148.5178287666376,971.0,17.10808206325918,0.8412399107567179
2020-04-14,3083.8724196154662,959.0,18.390262680072354,0.8406625782210309
2020-04-15,3020.2972506579144,944.0,19.57264902204444,0.8401024761115748
2020-04-16,2957.794106839533,930.0,20.64807290990367,0.839557350101535
2020-04-17,2896.325427999563,914.0,21.62304032688985,0.839025609826596
2020-04-18,2835.852089066583,898.0,22.502546232768577,0.8385061232686402
2020-04-19,2776.3556174397886,881.0,23.289849452481718,0.8379980775769595
2020-04-20,2717.832115721666,865.0,23.985253893115747,0.8375008796881019
2020-04-21,2660.275070026209,848.0,24.596008738522542,0.8370140846995946
2020-04-22,2603.6681555421264,832.0,25.133721327536314,0.8365373468794338
2020-04-23,2547.989706688571,815.0,25.609183324085354,0.8360703884186098
2020-04-24,2493.219788295926,799.0,26.030398657535564,0.8356129795199941
2020-04-25,2439.3425539355103,784.0,26.399647010456878,0.8351649245887376
2020-04-26,2386.343773191924,768.0,26.720008657273556,0.834726051877582
2020-04-27,2334.207982978454,753.0,26.995376332999747,0.8342962059177311
2020-04-28,2282.9179753866906,737.0,27.23035442044771,0.8338752425678612
2020-04-29,2232.4560545627346,722.0,27.428697851163662,0.8334630260574448
2020-04-30,2182.8051982546563,708.0,27.593945718908518,0.8330594271413344
2020-05-01,2133.9491339861256,693.0,27.722507991672234,0.8326643217294115
2020-05-02,2085.8717664314527,679.0,27.73862652314402,0.8322775897854569
2020-05-03,2038.5567714848448,665.0,27.661381053011034,0.8318991145354365
2020-05-04,1991.9876571360219,651.0,27.50665945649061,0.8315287819974244
2020-05-05,1946.1480462920797,638.0,27.28864162205571,0.8311664807339931
2020-05-06,1901.0218422769365,624.0,27.017340779826473,0.8308121016964931
2020-05-07,1856.593193358697,611.0,26.70096851416187,0.8304655380888091
2020-05-08,1812.8464413818438,598.0,26.346583580922758,0.8301267112692674
2020-05-09,1769.7658924550528,586.0,25.9605620541713,0.8297954788298998
2020-05-10,1727.3361137962486,573.0,25.551322626629656,0.8294717571870929
2020-05-11,1685.5418370288746,561.0,25.123054353411845,0.8291554491934783
2020-05-12,1644.368018113795,549.0,24.677890515233557,0.8288464600745165
2020-05-13,1603.7998243445181,537.0,24.218255760775364,0.828544697585972
2020-05-14,1563.8226141715381,525.0,23.747260878889467,0.8282500722142057
2020-05-15,1524.421953584928,514.0,23.26851697050344,0.8279624974512878
2020-05-16,1485.5836262197943,503.0,22.784432020679898,0.8276818901718159
2020-05-17,1447.2936424091008,492.0,22.296728738276023,0.827408171139355
2020-05-18,1409.538247052206,481.0,21.80703164380802,0.8271412656900703
2020-05-19,1372.3039160801309,470.0,21.31688679303317,0.8268811046563418
2020-05-20,1335.5773604372541,459.0,20.827775316854524,0.8266276256149472
2020-05-21,1299.345530643254,449.0,20.340748426272825,0.8263807745755907
2020-05-22,1263.5956225108766,439.0,19.856516571490424,0.826140508261701
2020-05-23,1228.3150828554724,428.0,19.37564884930146,0.8259067971899676
2020-05-24,1193.4916140780656,418.0,18.898663292088,0.8256796298267985
2020-05-25,1159.1131799355628,409.0,18.426058185587262,0.8254590181968666
2020-05-26,1125.1680133335649,399.0,17.958254301243592,0.8252450054494764
2020-05-27,1091.644626508845,390.0,17.495574812849604,0.8250376760636644
2020-05-28,1058.531824196423,380.0,17.0382772247984,0.8248371696092125
2020-05-29,1025.8187202319975,371.0,16.586584247698998,0.8246436992989177
2020-05-30,993.4947589851573,362.0,16.140702944075464,0.8244575769954365
2020-05-31,961.5497433315843,353.0,15.700818866460281,0.8242792469113905
2020-06-01,929.9738711701492,344.0,15.270544513285909,0.8241093310139613
2020-06-02,898.7577829410868,335.0,14.849657233402844,0.823948690181303
2020-06-03,867.8926231739019,327.0,14.437933799132695,0.823798506545144
2020-06-04,837.370119980638,318.0,14.035156281623154,0.8236603943061674
2020-06-05,807.1826874535532,310.0,13.641112862600139,0.8235365487737045
2020-06-06,777.3235571116309,302.0,13.255595416882878,0.8234299466461673
2020-06-07,750.2909555855426,294.0,12.878398014020926,0.8233446148449927
2020-06-08,724.8202748661117,286.0,12.509317250170744,0.8232859908168462
2020-06-09,699.767105574583,278.0,12.14815352756052,0.8232609483488031
2020-06-10,675.2842887193643,270.0,11.794711797375637,0.8232791249774782
2020-06-11,651.6344941090646,263.0,11.4488013743469,0.8233537547359115
2020-06-12,629.145255786801,255.0,11.110235475892493,0.823502560836027
2020-06-13,607.7613115116856,248.0,10.778831026740935,0.8237492166342505
2020-06-14,587.2725715144595,240.0,10.45440880282785,0.8241252575603519
2020-06-15,567.6145715643744,233.0,10.136793646219976,0.8246726150977624
2020-06-16,548.7969376582433,226.0,9.825814525967365,0.8254467383582743
2020-06-17,530.9123824629124,218.0,9.521304465696057,0.826520336955267
2020-06-18,514.0300344930246,211.0,9.223100464183215,0.8279877568649773
2020-06-19,498.17034726894684,204.0,8.931043489734778,0.8299697080697191
2020-06-20,483.3634953896378,198.0,8.644978534764164,0.8326177194541656
2020-06-21,469.67316693143863,191.0,8.364754678263683,0.8361170433092848
2020-06-22,457.2023323458392,184.0,8.090225135521429,0.8406858408878459
2020-06-23,446.07195111244937,178.0,7.821313284188829,0.8465674298511613
2020-06-24,436.39797591545516,172.0,7.558030853899446,0.8540115029601362
2020-06-25,428.2833328370531,166.0,7.300461984128708,0.8632404417056472
2020-06-26,421.8078518727957,160.0,7.048754516709506,0.8743995234919907
2020-06-27,417.01337134556053,154.0,6.803055091328684,0.8874962479388503
2020-06-28,413.8853186264952,149.0,6.563435020621773,0.9023437230250259
2020-06-29,412.34059613206205,144.0,6.329956853618058,0.9185317413183054
2020-06-30,412.2327881695409,139.0,6.10271403131784,0.9354488443740776
2020-07-01,413.3740205036642,134.0,5.881820516227207,0.9523631174737291
2020-07-02,415.56434805140424,130.0,5.667391779776366,0.968542923429116
2020-07-03,418.61631378725605,125.0,5.459470576044653,0.9833775708305833
2020-07-04,422.36732784668806,121.0,5.258080298961263,0.9964579407534981
2020-07-05,426.68142548344747,117.0,5.0632696190451645,1.0075983478705
