the_geom,the_geom_webmercator,collection_date,count,test_result
,,21.06.20,1458,negative
,,22.06.20,2203,negative
,,22.06.20,133,positive
,,23.06.20,175,positive
,,23.06.20,2564,negative
,,24.06.20,2550,negative
,,24.06.20,152,positive
,,25.06.20,155,positive
,,25.06.20,2389,negative
,,26.06.20,1922,negative
,,26.06.20,128,positive
,,27.06.20,82,positive
,,27.06.20,1984,negative
,,28.06.20,2071,negative
,,28.06.20,70,positive
,,29.06.20,153,positive
,,29.06.20,2565,negative
,,30.06.20,148,positive
,,30.06.20,2696,negative
,,01.07.20,176,positive
,,01.07.20,2535,negative
,,02.07.20,2505,negative
,,02.07.20,137,positive
,,03.07.20,2715,negative
,,03.07.20,97,positive
,,04.07.20,1494,negative
,,04.07.20,47,positive
,,05.07.20,1867,negative
,,05.07.20,70,positive
,,06.07.20,2791,negative
,,06.07.20,143,positive
,,07.07.20,189,positive
,,07.07.20,2840,negative
,,08.07.20,3618,negative
,,08.07.20,173,positive
,,09.07.20,2903,negative
,,09.07.20,158,positive
,,10.07.20,2425,negative
,,10.07.20,125,positive
,,11.07.20,113,positive
,,11.07.20,1849,negative
,,12.07.20,95,positive
,,12.07.20,1588,negative
,,13.07.20,169,positive
,,13.07.20,2520,negative
,,14.07.20,198,positive
,,14.07.20,2893,negative
,,15.07.20,3286,negative
,,15.07.20,178,positive
,,16.07.20,3592,negative
,,16.07.20,155,positive
,,17.07.20,176,positive
,,17.07.20,3711,negative
,,18.07.20,2591,negative
,,18.07.20,96,positive
,,19.07.20,2347,negative
,,19.07.20,69,positive
,,20.07.20,3254,negative
,,20.07.20,153,positive
,,21.07.20,2899,negative
,,21.07.20,179,positive
,,22.07.20,3964,negative
,,22.07.20,158,positive
,,23.07.20,4268,negative
,,23.07.20,189,positive
,,24.07.20,3828,negative
,,24.07.20,170,positive
,,25.07.20,83,positive
,,25.07.20,2876,negative
,,26.07.20,81,positive
,,26.07.20,2596,negative
,,27.07.20,156,positive
,,27.07.20,2650,negative
,,28.07.20,129,positive
,,28.07.20,3346,negative
,,29.07.20,177,positive
,,29.07.20,3386,negative
,,30.07.20,140,positive
,,30.07.20,3581,negative
,,31.07.20,3517,negative
,,31.07.20,140,positive
,,01.08.20,2337,negative
,,01.08.20,64,positive
,,02.08.20,69,positive
,,02.08.20,2839,negative
,,03.08.20,3086,negative
,,03.08.20,144,positive
,,04.08.20,86,positive
,,04.08.20,3485,negative
,,05.08.20,5031,negative
,,05.08.20,195,positive
,,06.08.20,3611,negative
,,06.08.20,142,positive
,,07.08.20,110,positive
,,07.08.20,3245,negative
,,08.08.20,2584,negative
,,08.08.20,84,positive
,,09.08.20,2914,negative
,,09.08.20,75,positive
,,10.08.20,3267,negative
,,10.08.20,161,positive
,,11.08.20,158,positive
,,11.08.20,3461,negative
,,12.08.20,126,positive
,,12.08.20,4587,negative
,,13.08.20,3751,negative
,,13.08.20,143,positive
,,14.08.20,131,positive
,,14.08.20,3999,negative
,,15.08.20,88,positive
,,15.08.20,2966,negative
,,16.08.20,2519,negative
,,16.08.20,49,positive
,,17.08.20,3056,negative
,,17.08.20,120,positive
,,18.08.20,3643,negative
,,18.08.20,129,positive
,,19.08.20,4174,negative
,,19.08.20,112,positive
,,20.08.20,126,positive
,,20.08.20,3556,negative
,,21.08.20,3630,negative
,,21.08.20,85,positive
,,22.08.20,73,positive
,,22.08.20,3262,negative
,,23.08.20,42,positive
,,23.08.20,2285,negative
,,24.08.20,145,positive
,,24.08.20,2781,negative
,,25.08.20,3495,negative
,,25.08.20,122,positive
,,26.08.20,138,positive
,,26.08.20,4095,negative
,,27.08.20,155,positive
,,27.08.20,3518,negative
,,28.08.20,4493,negative
,,28.08.20,168,positive
,,29.08.20,2962,negative
,,29.08.20,81,positive
,,30.08.20,87,positive
,,30.08.20,2814,negative
